freq,tra_type,c_unload,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,AL,GT01,THS_T,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AL,GT01,THS_T,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AL,GT01,THS_T,IT	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT01,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u	: 	: 
A,HIRE,AL,GT01,THS_T,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,HIRE,AL,GT02,THS_T,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AL,GT03,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,AL,GT04,THS_T,BG	: 	: 	: 	: u	: 	: 	: 	: 	: u	: u	: 	: 	: u	: 	: 
A,HIRE,AL,GT04,THS_T,CY	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT04,THS_T,EL	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u
A,HIRE,AL,GT04,THS_T,HR	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AL,GT04,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: u	: u	: 
A,HIRE,AL,GT04,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AL,GT04,THS_T,SI	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT05,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,AL,GT05,THS_T,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AL,GT05,THS_T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,AL,GT06,THS_T,BG	: u	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT06,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,HIRE,AL,GT06,THS_T,RO	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT06,THS_T,SI	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT07,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AL,GT07,THS_T,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AL,GT08,THS_T,BG	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT08,THS_T,HU	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: u	: u	: 	: 
A,HIRE,AL,GT08,THS_T,IT	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT08,THS_T,RO	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT08,THS_T,SI	: 	: u	: 	: 	: u	: 	: 	: u	: 	: u	: 	: 	: 	: 	: u
A,HIRE,AL,GT09,THS_T,BG	: 	: u	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AL,GT09,THS_T,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 
A,HIRE,AL,GT09,THS_T,HU	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT09,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u	: u	: u	: 
A,HIRE,AL,GT10,THS_T,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AL,GT10,THS_T,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AL,GT10,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,HIRE,AL,GT10,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AL,GT10,THS_T,RO	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT11,THS_T,BG	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AL,GT11,THS_T,CZ	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT11,THS_T,DE	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT11,THS_T,HR	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT11,THS_T,HU	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT11,THS_T,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AL,GT11,THS_T,RO	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT12,THS_T,HU	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT12,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AL,GT12,THS_T,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u	: 
A,HIRE,AL,GT13,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT15,THS_T,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AL,GT16,THS_T,AT	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT16,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT17,THS_T,AT	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT18,THS_T,AT	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT18,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AL,GT18,THS_T,NL	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT18,THS_T,RO	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT19,THS_T,AT	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT20,THS_T,BG	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,GT20,THS_T,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,HIRE,AL,TOTAL,THS_T,AT	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 
