freq,tra_type,c_unload,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,DK,GT09,THS_T,LU	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT09,THS_T,LV	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u
A,HIRE,DK,GT09,THS_T,NL	22 	: u	: u	: u	: u	11 	36 	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,DK,GT09,THS_T,NO	: 	: u	: 	: u	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,DK,GT09,THS_T,PL	65 	: u	107 	56 	110 	72 	: u	: u	136 	329 	: u	: u	277 	175 	: u
A,HIRE,DK,GT09,THS_T,PT	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,HIRE,DK,GT09,THS_T,SE	: 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,DK,GT09,THS_T,SI	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT09,THS_T,SK	: 	: u	: 	: 	: 	: u	: 	: 	: u	: 	: 	: u	: 	: 	: 
A,HIRE,DK,GT10,THS_T,AT	: u	: u	: u	: u	: u	: 	: 	: 	: u	: 	: 	: u	: 	: u	: u
A,HIRE,DK,GT10,THS_T,BE	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 
A,HIRE,DK,GT10,THS_T,BG	: 	: 	: 	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT10,THS_T,CZ	: u	40 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,DK,GT10,THS_T,DE	380 	254 	194 	219 	288 	224 	200 	154 	264 	244 	204 	147 	132 	111 	167 
A,HIRE,DK,GT10,THS_T,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,DK,GT10,THS_T,EL	: u	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT10,THS_T,ES	: 	: 	: 	: u	: u	: 	: 	: u	: u	: 	: u	: 	: u	: u	: 
A,HIRE,DK,GT10,THS_T,FI	: u	19 	: u	: u	: 	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,HIRE,DK,GT10,THS_T,HR	: u	: u	: u	: 	: 	: 	: u	: 	: u	: u	: 	: u	: 	: 	: u
A,HIRE,DK,GT10,THS_T,HU	: u	: 	: u	: u	: 	: 	: u	: u	: u	: 	: u	: 	: u	: 	: 
A,HIRE,DK,GT10,THS_T,IT	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 	: u
A,HIRE,DK,GT10,THS_T,LI	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT10,THS_T,LT	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT10,THS_T,LU	: 	: 	: 	: u	: u	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 
A,HIRE,DK,GT10,THS_T,LV	: u	: 	: u	: u	: 	: u	: 	: u	: u	: u	: u	: 	: u	: 	: 
A,HIRE,DK,GT10,THS_T,NL	: u	: u	: u	30 	: u	: u	: u	20 	: u	: u	: u	25 	: u	: u	6 
A,HIRE,DK,GT10,THS_T,NO	: u	: u	: u	: 	: u	: 	: u	: u	: 	: 	: u	: 	: u	: 	: u
A,HIRE,DK,GT10,THS_T,PL	157 	: u	101 	: u	119 	104 	240 	104 	: u	256 	: u	: u	233 	133 	388 
A,HIRE,DK,GT10,THS_T,PT	: 	: 	: u	: u	: 	: u	: u	: 	: 	: 	: 	: u	: 	: 	: u
A,HIRE,DK,GT10,THS_T,RO	: 	: 	: 	: u	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 	: u
A,HIRE,DK,GT10,THS_T,SE	: u	: 	: u	: u	: 	: u	: u	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,DK,GT10,THS_T,SI	: 	: u	: 	: u	: u	: 	: u	: u	: 	: 	: u	: 	: 	: 	: 
A,HIRE,DK,GT10,THS_T,SK	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u	: u
A,HIRE,DK,GT10,THS_T,UK	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 
A,HIRE,DK,GT11,THS_T,AT	: 	: 	: 	: 	: u	: u	: 	: u	: u	: 	: 	: u	: u	: 	: u
A,HIRE,DK,GT11,THS_T,BE	: 	: u	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: u
A,HIRE,DK,GT11,THS_T,BG	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,DK,GT11,THS_T,CZ	: u	: u	: u	29 	54 	: u	: u	: u	: u	: 	: 	: u	: u	: u	: u
A,HIRE,DK,GT11,THS_T,DE	201 	144 	108 	140 	172 	156 	117 	89 	144 	121 	106 	129 	94 	78 	73 
A,HIRE,DK,GT11,THS_T,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,DK,GT11,THS_T,ES	: u	: u	: 	: 	: 	: 	: u	: 	: u	: u	: u	: u	: u	: 	: 
A,HIRE,DK,GT11,THS_T,FI	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT11,THS_T,FR	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT11,THS_T,HR	: u	: 	: u	: 	: 	: 	: u	: u	: u	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT11,THS_T,HU	: u	16 	: u	11 	: u	16 	18 	23 	: u	22 	21 	20 	: u	: u	: 
A,HIRE,DK,GT11,THS_T,LT	: 	: 	: u	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u
A,HIRE,DK,GT11,THS_T,LV	: 	: u	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,DK,GT11,THS_T,NL	28 	21 	34 	11 	8 	16 	: u	: u	45 	: u	: u	: u	: u	: u	: u
A,HIRE,DK,GT11,THS_T,NO	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,DK,GT11,THS_T,PL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,DK,GT11,THS_T,PT	: 	: 	: 	: u	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 
A,HIRE,DK,GT11,THS_T,RO	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u	: 	: 	: u	: u
A,HIRE,DK,GT11,THS_T,SE	4 	: u	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u	: 
A,HIRE,DK,GT11,THS_T,SI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,HIRE,DK,GT11,THS_T,SK	: u	: u	: 	: u	: 	: u	: 	: u	: u	: 	: u	: 	: u	: u	: u
A,HIRE,DK,GT11,THS_T,UK	: u	: u	: 	: u	: u	: 	: u	: 	: u	: u	: u	: u	: 	: 	: 
A,HIRE,DK,GT12,THS_T,AT	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,DK,GT12,THS_T,BE	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT12,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,HIRE,DK,GT12,THS_T,CZ	: u	: 	: 	: 	: u	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,DK,GT12,THS_T,DE	139 	135 	128 	87 	95 	113 	105 	96 	86 	55 	51 	53 	45 	44 	: u
A,HIRE,DK,GT12,THS_T,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,DK,GT12,THS_T,EL	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT12,THS_T,ES	: u	: u	: 	: 	: 	: 	: u	: u	: 	: 	: u	: u	: 	: u	: u
A,HIRE,DK,GT12,THS_T,FI	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT12,THS_T,FR	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT12,THS_T,HU	: 	: u	: u	: u	12 	: u	: u	: u	: u	: 	: 	: u	: 	: 	: 
A,HIRE,DK,GT12,THS_T,IE	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: u	: 	: 
A,HIRE,DK,GT12,THS_T,IT	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT12,THS_T,LT	: u	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,DK,GT12,THS_T,NL	: u	: u	: u	: u	: u	17 	: u	40 	: u	4 	: u	28 	5 	: u	14 
A,HIRE,DK,GT12,THS_T,NO	: 	: 	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 	: u	: u	: 
A,HIRE,DK,GT12,THS_T,PL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,DK,GT12,THS_T,RO	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: u
A,HIRE,DK,GT12,THS_T,SE	: u	: u	: 	: 	: 	: 	: 	: 	: 	: u	45 	: u	: 	: u	: 
A,HIRE,DK,GT12,THS_T,SI	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,DK,GT12,THS_T,SK	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	: u	: 
A,HIRE,DK,GT12,THS_T,UK	: u	: 	: u	: u	: 	: u	: 	: 	: 	: 	: u	: u	: 	: 	: 
A,HIRE,DK,GT13,THS_T,AT	: u	: u	: 	: 	: u	: 	: u	: 	: u	: u	: u	: 	: 	: u	: 
A,HIRE,DK,GT13,THS_T,BE	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 
A,HIRE,DK,GT13,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 	: 	: 
A,HIRE,DK,GT13,THS_T,CZ	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,HIRE,DK,GT13,THS_T,DE	74 	: u	73 	65 	39 	: u	82 	33 	36 	47 	57 	: u	49 	42 	: u
A,HIRE,DK,GT13,THS_T,EE	: 	: 	: 	: u	: 	: u	: 	: 	: u	: 	: u	: 	: 	: u	: 
A,HIRE,DK,GT13,THS_T,HR	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 
A,HIRE,DK,GT13,THS_T,HU	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 
A,HIRE,DK,GT13,THS_T,IT	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT13,THS_T,LT	: u	: u	: 	: u	: u	: u	: u	: u	: u	22 	: u	: u	32 	: u	: u
A,HIRE,DK,GT13,THS_T,LV	: 	: u	: 	: 	: u	: u	: 	: u	: u	: 	: u	: 	: u	: 	: 
A,HIRE,DK,GT13,THS_T,NL	: u	: u	: u	: u	: 	: 	: 	: u	: u	: u	: u	: u	: 	: u	: u
A,HIRE,DK,GT13,THS_T,NO	: 	: 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT13,THS_T,PL	34 	41 	: u	: u	: u	: u	: u	53 	126 	211 	: u	: u	257 	: u	280 
A,HIRE,DK,GT13,THS_T,PT	: 	: u	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT13,THS_T,RO	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: u	: u	: 	: 	: 
A,HIRE,DK,GT13,THS_T,SE	24 	: u	: 	: 	: u	: u	: u	: 	: 	: u	: 	: u	: u	: u	: u
A,HIRE,DK,GT13,THS_T,SI	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,DK,GT13,THS_T,SK	: u	: 	: 	: u	: 	: u	: u	: u	: 	: u	: u	: u	: 	: 	: 
A,HIRE,DK,GT13,THS_T,UK	: 	: 	: u	: 	: u	: u	: 	: u	: 	: u	: 	: 	: 	: 	: 
A,HIRE,DK,GT14,THS_T,AT	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT14,THS_T,DE	96 	: u	: u	81 	: u	70 	: u	: u	: u	83 	65 	89 	98 	116 	94 
A,HIRE,DK,GT14,THS_T,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,DK,GT14,THS_T,LT	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT14,THS_T,NL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,DK,GT14,THS_T,NO	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: 	: u	: u	: u	: u
A,HIRE,DK,GT14,THS_T,PL	: 	: 	: 	: u	: 	: 	: u	: 	: u	: 	: 	: 	: u	: 	: 
A,HIRE,DK,GT14,THS_T,SE	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT15,THS_T,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,HIRE,DK,GT15,THS_T,CZ	: 	: 	: 	: u	: u	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 
A,HIRE,DK,GT15,THS_T,DE	: 	: 	44 	70 	50 	36 	94 	92 	55 	142 	100 	64 	46 	129 	135 
A,HIRE,DK,GT15,THS_T,NL	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: 	: u
A,HIRE,DK,GT15,THS_T,NO	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,DK,GT15,THS_T,PL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u
A,HIRE,DK,GT15,THS_T,SE	: 	: 	: u	: 	: 	: u	: 	: u	: 	: u	: 	: 	: 	: u	: 
A,HIRE,DK,GT15,THS_T,UK	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT16,THS_T,AT	: u	: u	: 	: u	: u	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 
A,HIRE,DK,GT16,THS_T,BE	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 	: 
A,HIRE,DK,GT16,THS_T,CZ	: 	: 	: u	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT16,THS_T,DE	32 	34 	49 	50 	33 	26 	33 	41 	20 	25 	29 	36 	47 	23 	: u
A,HIRE,DK,GT16,THS_T,HU	: u	: 	: u	: u	: u	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT16,THS_T,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT16,THS_T,LT	: u	: 	: 	: 	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: u
A,HIRE,DK,GT16,THS_T,LV	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,DK,GT16,THS_T,NL	5 	: u	: u	: u	: u	: u	: u	: u	: u	21 	: u	: u	: u	: u	: u
A,HIRE,DK,GT16,THS_T,NO	: 	: u	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT16,THS_T,PL	: u	: u	: u	: u	102 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,DK,GT16,THS_T,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,DK,GT16,THS_T,SE	1 	: 	: u	: u	: 	: u	: 	: u	: u	: u	: u	: u	: u	: 	: u
A,HIRE,DK,GT16,THS_T,SK	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT16,THS_T,UK	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT17,THS_T,AT	: u	: u	: 	: 	: u	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 
A,HIRE,DK,GT17,THS_T,BE	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT17,THS_T,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u
A,HIRE,DK,GT17,THS_T,FI	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT17,THS_T,NL	26 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,DK,GT17,THS_T,NO	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 	: 	: u
A,HIRE,DK,GT17,THS_T,PL	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT17,THS_T,SE	: u	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: u	: 
A,HIRE,DK,GT17,THS_T,UK	: 	: 	: 	: 	: 	: u	: u	: u	: 	: u	: u	: u	: 	: 	: 
A,HIRE,DK,GT18,THS_T,AT	: u	: u	: 	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: u	: u
A,HIRE,DK,GT18,THS_T,BE	: u	: u	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,DK,GT18,THS_T,BG	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 
A,HIRE,DK,GT18,THS_T,CZ	: u	: u	: 	: u	: u	: 	: u	: u	: 	: u	: 	: u	: u	: u	: u
A,HIRE,DK,GT18,THS_T,DE	: 	: 	378 	360 	371 	246 	340 	339 	202 	318 	300 	298 	390 	389 	238 
A,HIRE,DK,GT18,THS_T,EE	: 	: u	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 	: u	: 	: u
A,HIRE,DK,GT18,THS_T,EL	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT18,THS_T,ES	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT18,THS_T,FI	: u	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,DK,GT18,THS_T,FR	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT18,THS_T,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: u
A,HIRE,DK,GT18,THS_T,HU	: u	: u	: u	: u	: u	: u	: 	: u	8 	: u	: u	: 	: 	: 	: u
A,HIRE,DK,GT18,THS_T,IE	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,DK,GT18,THS_T,LT	: u	: 	: u	: u	: u	: u	: u	: u	19 	: u	: 	: u	: u	: u	: u
A,HIRE,DK,GT18,THS_T,LU	: 	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT18,THS_T,LV	: u	: u	: 	: 	: 	: u	: 	61 	: u	: u	: u	: u	: u	: 	: 
A,HIRE,DK,GT18,THS_T,NL	180 	83 	94 	107 	75 	158 	90 	148 	129 	155 	56 	118 	127 	181 	161 
A,HIRE,DK,GT18,THS_T,NO	: u	: u	: u	: u	: 	: 	: u	: 	: 	: 	: 	: u	: 	: u	: 
A,HIRE,DK,GT18,THS_T,PL	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: 	229 	97 	: u	: u
A,HIRE,DK,GT18,THS_T,PT	: 	: u	: u	: 	: u	: 	: u	: u	: u	: u	: u	: u	: 	: 	: u
A,HIRE,DK,GT18,THS_T,RO	: 	: 	: 	: u	: u	: u	: 	: u	: u	: u	: 	: u	: 	: u	: u
A,HIRE,DK,GT18,THS_T,SE	30 	29 	33 	26 	22 	: u	: u	71 	: u	: u	78 	: u	: u	70 	: u
A,HIRE,DK,GT18,THS_T,SK	: u	: 	: u	: 	: 	: u	: 	: 	: u	: 	: 	: u	: 	: u	: 
A,HIRE,DK,GT18,THS_T,UK	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT19,THS_T,AT	: u	: u	: 	: u	: u	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 
A,HIRE,DK,GT19,THS_T,BE	: u	: u	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,DK,GT19,THS_T,CZ	: 	: 	: 	: 	: u	: 	: 	: u	: u	: 	: 	: 	: 	: u	: u
A,HIRE,DK,GT19,THS_T,DE	496 	333 	110 	89 	23 	: u	: 	: 	: 	: 	: u	: u	: u	: 	: u
A,HIRE,DK,GT19,THS_T,EE	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT19,THS_T,FI	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT19,THS_T,FR	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT19,THS_T,HU	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 
A,HIRE,DK,GT19,THS_T,NL	: 	: 	: u	: u	: u	: u	: u	: 	: 	: u	: 	: u	: 	: u	: 
A,HIRE,DK,GT19,THS_T,NO	: 	: 	: u	: 	: u	: u	: 	: u	: 	: 	: 	: 	: u	: 	: 
A,HIRE,DK,GT19,THS_T,PL	: 	: u	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: u	: u	: u
A,HIRE,DK,GT19,THS_T,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,DK,GT19,THS_T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,DK,GT19,THS_T,SI	: u	: 	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u
A,HIRE,DK,GT19,THS_T,UK	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT20,THS_T,BE	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT20,THS_T,CZ	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT20,THS_T,EE	: 	: 	: 	: 	: u	: 	: 	: u	: 	: u	: u	: 	: 	: 	: 
A,HIRE,DK,GT20,THS_T,FI	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT20,THS_T,HU	: 	: u	: u	: 	: 	: 	: 	: 	5 	12 	21 	21 	16 	26 	37 
A,HIRE,DK,GT20,THS_T,LU	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT20,THS_T,NL	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT20,THS_T,PL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,DK,GT20,THS_T,PT	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,DK,GT20,THS_T,RO	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,DK,GT20,THS_T,SE	: 	: u	: u	: u	: 	: 	: 	: u	: u	: u	: 	: 	: u	: 	: 
A,HIRE,DK,TOTAL,THS_T,AT	31 	25 	: u	: u	36 	16 	12 	: u	25 	11 	8 	: u	: u	: u	: u
A,HIRE,DK,TOTAL,THS_T,BE	60 	19 	27 	: u	: u	: u	: u	133 	: u	70 	: u	127 	: u	: u	: u
A,HIRE,DK,TOTAL,THS_T,BG	: 	: 	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: 	: u	: u
A,HIRE,DK,TOTAL,THS_T,CY	: 	: u	: u	: 	: 	: 	: 	: u	0 	1 	1 	1 	5 	2 	: u
A,HIRE,DK,TOTAL,THS_T,CZ	127 	137 	97 	146 	207 	153 	152 	179 	126 	85 	: u	61 	90 	174 	139 
A,HIRE,DK,TOTAL,THS_T,DE	4987 	4142 	3924 	3777 	3674 	3693 	3907 	3213 	3638 	3623 	3214 	3144 	3055 	2910 	2914 
A,HIRE,DK,TOTAL,THS_T,EE	: u	28 	: u	35 	: u	: u	: u	: u	: u	: u	: u	: u	85 	: u	: u
A,HIRE,DK,TOTAL,THS_T,EL	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: 	: 	: 
A,HIRE,DK,TOTAL,THS_T,ES	: u	139 	: u	127 	113 	115 	: u	183 	146 	200 	161 	207 	146 	219 	133 
A,HIRE,DK,TOTAL,THS_T,FI	48 	32 	57 	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,HIRE,DK,TOTAL,THS_T,FR	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: 	: 	: 
A,HIRE,DK,TOTAL,THS_T,HR	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,DK,TOTAL,THS_T,HU	32 	47 	45 	35 	41 	40 	47 	58 	33 	43 	71 	54 	26 	46 	58 
A,HIRE,DK,TOTAL,THS_T,IE	: u	: u	: u	: 	: 	: u	: u	: 	: u	: u	: u	: 	: u	: u	: 
A,HIRE,DK,TOTAL,THS_T,IT	: u	: 	: 	: u	: 	: 	: u	: 	: u	: 	: 	: 	: u	: 	: u
A,HIRE,DK,TOTAL,THS_T,LI	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,DK,TOTAL,THS_T,LT	69 	75 	78 	43 	75 	80 	63 	112 	103 	90 	: u	116 	67 	: u	111 
A,HIRE,DK,TOTAL,THS_T,LU	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u
