freq,tra_type,c_load,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,EU27_2007,GT15,THS_T,PL	40 	110 	90 	102 	235 	345 	318 	180 	370 	584 	250 	833 	894 	1149 	701 
A,HIRE,EU27_2007,GT15,THS_T,PT	: 	: 	: u	: u	: u	: u	: u	48 	: u	: u	32 	: u	: 	: u	: u
A,HIRE,EU27_2007,GT15,THS_T,RO	: u	: u	: u	: u	: u	: u	: u	16 	31 	: u	: u	28 	23 	19 	42 
A,HIRE,EU27_2007,GT15,THS_T,SE	: 	: 	: u	: u	: 	: 	: 	: 	: u	: u	: 	: 	: u	: 	: u
A,HIRE,EU27_2007,GT15,THS_T,SI	: 	: 	: 	: u	: u	: u	: 	: u	: 	: 	: 	: 	: u	: 	: u
A,HIRE,EU27_2007,GT15,THS_T,SK	: u	: u	: 	: u	: u	: u	: u	: 	34 	38 	71 	43 	29 	61 	38 
A,HIRE,EU27_2007,GT15,THS_T,UK	56 	10 	13 	12 	104 	33 	103 	85 	94 	155 	115 	114 	: 	: 	: 
A,HIRE,EU27_2007,GT16,THS_T,AT	429 	278 	367 	332 	227 	236 	217 	253 	251 	258 	248 	229 	93 	162 	194 
A,HIRE,EU27_2007,GT16,THS_T,BE	487 	363 	255 	320 	239 	271 	228 	320 	287 	383 	508 	246 	463 	420 	363 
A,HIRE,EU27_2007,GT16,THS_T,BG	: u	: u	: u	: 	: u	: u	: u	: u	: u	52 	: u	: u	119 	81 	58 
A,HIRE,EU27_2007,GT16,THS_T,CH	47 	39 	39 	85 	15 	24 	35 	33 	33 	: u	36 	74 	: u	32 	29 
A,HIRE,EU27_2007,GT16,THS_T,CZ	945 	695 	1007 	942 	913 	1008 	1353 	1328 	1271 	1001 	796 	921 	1197 	1074 	1188 
A,HIRE,EU27_2007,GT16,THS_T,DE	1642 	1620 	1299 	1358 	1542 	1359 	1280 	1236 	1242 	1193 	1116 	1166 	861 	881 	911 
A,HIRE,EU27_2007,GT16,THS_T,DK	155 	39 	31 	24 	25 	19 	7 	8 	14 	10 	20 	: u	: u	: u	: u
A,HIRE,EU27_2007,GT16,THS_T,EE	20 	: u	: u	14 	: u	19 	: u	15 	15 	: u	10 	: u	: u	: u	: u
A,HIRE,EU27_2007,GT16,THS_T,EL	: u	: 	: 	: u	: 	: u	: 	: u	: u	: 	: 	: u	: u	: 	: 
A,HIRE,EU27_2007,GT16,THS_T,ES	598 	605 	656 	941 	684 	723 	811 	714 	889 	880 	822 	967 	748 	886 	819 
A,HIRE,EU27_2007,GT16,THS_T,FI	30 	16 	: u	: u	: u	: 	: u	: 	: u	: u	: 	: 	: u	: u	: u
A,HIRE,EU27_2007,GT16,THS_T,FR	433 	209 	214 	195 	183 	127 	119 	193 	57 	75 	104 	104 	115 	73 	60 
A,HIRE,EU27_2007,GT16,THS_T,HR	: u	22 	: u	31 	21 	16 	25 	36 	31 	47 	70 	29 	47 	40 	86 
A,HIRE,EU27_2007,GT16,THS_T,HU	258 	239 	277 	316 	321 	314 	383 	449 	237 	188 	182 	320 	131 	147 	149 
A,HIRE,EU27_2007,GT16,THS_T,IE	37 	14 	25 	32 	35 	26 	23 	22 	25 	10 	19 	: u	: u	: u	40 
A,HIRE,EU27_2007,GT16,THS_T,IT	189 	127 	386 	85 	139 	150 	144 	: u	206 	107 	121 	133 	61 	90 	79 
A,HIRE,EU27_2007,GT16,THS_T,LI	: 	: u	5 	: u	5 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT16,THS_T,LT	60 	36 	61 	40 	44 	18 	24 	51 	96 	134 	: u	: u	: u	: u	53 
A,HIRE,EU27_2007,GT16,THS_T,LU	117 	84 	102 	95 	65 	78 	155 	65 	41 	58 	40 	43 	69 	117 	113 
A,HIRE,EU27_2007,GT16,THS_T,LV	4 	23 	15 	: u	23 	27 	14 	44 	51 	27 	58 	30 	44 	76 	149 
A,HIRE,EU27_2007,GT16,THS_T,NL	1843 	1564 	1325 	1452 	1276 	1920 	2098 	2197 	2053 	2325 	2051 	2142 	2228 	2409 	2253 
A,HIRE,EU27_2007,GT16,THS_T,NO	40 	62 	27 	33 	52 	111 	53 	49 	38 	51 	: u	: u	18 	23 	: u
A,HIRE,EU27_2007,GT16,THS_T,PL	713 	891 	823 	1083 	1463 	1695 	1465 	1276 	1923 	1683 	2174 	2623 	1763 	2054 	2964 
A,HIRE,EU27_2007,GT16,THS_T,PT	226 	192 	148 	150 	272 	280 	145 	109 	137 	196 	144 	157 	131 	111 	176 
A,HIRE,EU27_2007,GT16,THS_T,RO	136 	105 	83 	60 	65 	78 	33 	28 	55 	67 	53 	124 	209 	164 	134 
A,HIRE,EU27_2007,GT16,THS_T,SE	24 	: u	: u	12 	8 	10 	24 	26 	: u	19 	: u	: u	: u	: u	: u
A,HIRE,EU27_2007,GT16,THS_T,SI	132 	119 	105 	102 	92 	97 	65 	116 	114 	56 	78 	115 	97 	78 	101 
A,HIRE,EU27_2007,GT16,THS_T,SK	386 	257 	315 	350 	454 	343 	386 	456 	640 	510 	714 	535 	511 	470 	670 
A,HIRE,EU27_2007,GT16,THS_T,UK	: 	: 	: 	98 	157 	138 	214 	114 	56 	28 	83 	50 	: 	: 	: 
A,HIRE,EU27_2007,GT17,THS_T,AT	473 	307 	305 	286 	219 	178 	195 	199 	154 	166 	177 	168 	18 	45 	15 
A,HIRE,EU27_2007,GT17,THS_T,BE	30 	25 	27 	37 	39 	45 	34 	: u	: u	: u	: u	51 	: u	: u	: u
A,HIRE,EU27_2007,GT17,THS_T,BG	: u	: 	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u
A,HIRE,EU27_2007,GT17,THS_T,CH	: u	: u	: u	68 	: u	: u	24 	40 	: u	: u	: u	: u	: u	: u	42 
A,HIRE,EU27_2007,GT17,THS_T,CY	0 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT17,THS_T,CZ	: 	: u	: u	: 	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u
A,HIRE,EU27_2007,GT17,THS_T,DE	105 	57 	125 	138 	209 	256 	259 	251 	296 	198 	195 	188 	158 	131 	157 
A,HIRE,EU27_2007,GT17,THS_T,DK	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: 	: u
A,HIRE,EU27_2007,GT17,THS_T,EE	: u	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: u
A,HIRE,EU27_2007,GT17,THS_T,EL	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: 	: u	: 	: 	: u
A,HIRE,EU27_2007,GT17,THS_T,ES	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,HIRE,EU27_2007,GT17,THS_T,FI	: u	: u	: u	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,EU27_2007,GT17,THS_T,FR	: u	43 	51 	63 	15 	37 	83 	68 	37 	56 	: u	39 	: u	47 	54 
A,HIRE,EU27_2007,GT17,THS_T,HR	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: u	: u	: 	: u
A,HIRE,EU27_2007,GT17,THS_T,HU	: u	: 	: u	: u	: u	: 	: u	9 	41 	14 	12 	8 	: u	: u	: u
A,HIRE,EU27_2007,GT17,THS_T,IE	: 	: u	: u	: u	: 	: 	: 	: u	: 	: 	: u	: u	: u	: u	: u
A,HIRE,EU27_2007,GT17,THS_T,IT	: u	: u	: u	: 	: u	: 	: 	: 	: 	: u	: u	: u	: u	: u	: u
A,HIRE,EU27_2007,GT17,THS_T,LI	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT17,THS_T,LT	: u	: u	39 	63 	37 	61 	: u	: u	: u	: 	: 	: u	: 	: 	: u
A,HIRE,EU27_2007,GT17,THS_T,LU	: 	: u	: 	: 	: u	: u	: u	4 	: u	: 	: u	: 	: 	: u	: u
A,HIRE,EU27_2007,GT17,THS_T,LV	: u	: u	: 	: u	: u	: 	: 	: u	: u	: u	: 	: u	: 	: u	: 
A,HIRE,EU27_2007,GT17,THS_T,NL	511 	432 	33 	12 	8 	: u	18 	9 	: u	: u	: u	13 	12 	13 	: u
A,HIRE,EU27_2007,GT17,THS_T,NO	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u
A,HIRE,EU27_2007,GT17,THS_T,PL	: u	: u	: u	: u	: u	: u	126 	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,EU27_2007,GT17,THS_T,PT	: 	: 	: u	: 	: 	: 	: u	: u	: u	: u	24 	: u	: u	: u	: u
A,HIRE,EU27_2007,GT17,THS_T,RO	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: 	: u	: 	: u
A,HIRE,EU27_2007,GT17,THS_T,SE	: u	: u	: u	: 	: 	: u	: 	: u	: 	: u	: 	: u	: u	: 	: 
A,HIRE,EU27_2007,GT17,THS_T,SI	: 	: u	: 	: u	: u	: 	: 	: 	: 	: 	: u	: 	: 	: u	: u
A,HIRE,EU27_2007,GT17,THS_T,SK	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: u	: u	: u	: u	: u
A,HIRE,EU27_2007,GT17,THS_T,UK	: 	: 	: 	: u	7 	93 	163 	144 	61 	171 	120 	56 	: 	: 	: 
A,HIRE,EU27_2007,GT18,THS_T,AT	901 	584 	615 	579 	429 	382 	398 	412 	344 	349 	378 	356 	709 	665 	713 
A,HIRE,EU27_2007,GT18,THS_T,BE	1127 	823 	736 	792 	576 	798 	562 	594 	205 	223 	329 	249 	508 	389 	370 
A,HIRE,EU27_2007,GT18,THS_T,BG	: u	270 	79 	311 	259 	: u	482 	662 	764 	735 	602 	533 	829 	741 	655 
A,HIRE,EU27_2007,GT18,THS_T,CH	283 	208 	177 	289 	104 	320 	110 	435 	148 	287 	194 	348 	155 	257 	141 
A,HIRE,EU27_2007,GT18,THS_T,CY	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
A,HIRE,EU27_2007,GT18,THS_T,CZ	626 	606 	602 	635 	697 	796 	683 	836 	600 	962 	946 	662 	1505 	1793 	1715 
A,HIRE,EU27_2007,GT18,THS_T,DE	: 	: 	2771 	3180 	3291 	3365 	3688 	3966 	3832 	4053 	4004 	4086 	3649 	4010 	4490 
A,HIRE,EU27_2007,GT18,THS_T,DK	1694 	968 	530 	485 	395 	295 	323 	216 	211 	183 	162 	125 	107 	112 	150 
A,HIRE,EU27_2007,GT18,THS_T,EE	: u	130 	136 	143 	188 	161 	157 	229 	197 	82 	100 	116 	59 	142 	103 
A,HIRE,EU27_2007,GT18,THS_T,EL	131 	227 	59 	73 	181 	125 	147 	185 	262 	544 	686 	352 	661 	209 	267 
A,HIRE,EU27_2007,GT18,THS_T,ES	126 	1069 	1148 	1047 	1221 	1171 	1342 	1155 	1192 	1323 	1499 	1300 	1131 	1374 	1711 
A,HIRE,EU27_2007,GT18,THS_T,FI	84 	152 	184 	328 	204 	: u	163 	246 	161 	: u	: u	: u	: u	: u	: u
A,HIRE,EU27_2007,GT18,THS_T,FR	5837 	3799 	3522 	3875 	3468 	3600 	3312 	2754 	2025 	1898 	1914 	2096 	2081 	2656 	2923 
A,HIRE,EU27_2007,GT18,THS_T,HR	: 	: 	: 	: u	20 	52 	78 	159 	224 	233 	372 	314 	313 	491 	577 
A,HIRE,EU27_2007,GT18,THS_T,HU	722 	686 	822 	910 	1058 	969 	1096 	1173 	1105 	800 	883 	936 	729 	553 	755 
A,HIRE,EU27_2007,GT18,THS_T,IE	856 	618 	456 	442 	445 	321 	271 	284 	393 	415 	262 	269 	274 	325 	193 
A,HIRE,EU27_2007,GT18,THS_T,IT	853 	624 	598 	372 	922 	678 	679 	644 	759 	665 	452 	1057 	1074 	1011 	1693 
A,HIRE,EU27_2007,GT18,THS_T,LI	8 	3 	5 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT18,THS_T,LT	539 	467 	546 	618 	617 	710 	763 	711 	739 	1013 	1032 	1181 	1137 	1115 	1096 
A,HIRE,EU27_2007,GT18,THS_T,LU	232 	303 	338 	610 	562 	430 	573 	370 	65 	78 	167 	160 	139 	167 	106 
A,HIRE,EU27_2007,GT18,THS_T,LV	213 	141 	166 	179 	232 	253 	257 	314 	316 	293 	397 	280 	264 	353 	519 
A,HIRE,EU27_2007,GT18,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 
A,HIRE,EU27_2007,GT18,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 
A,HIRE,EU27_2007,GT18,THS_T,NL	4896 	3854 	5908 	5080 	4881 	5712 	5751 	5414 	5421 	6349 	6771 	6396 	6895 	5692 	6330 
A,HIRE,EU27_2007,GT18,THS_T,NO	345 	114 	111 	200 	276 	385 	75 	18 	: u	106 	73 	: u	46 	79 	58 
A,HIRE,EU27_2007,GT18,THS_T,PL	1484 	1073 	615 	589 	1180 	1694 	2300 	2091 	2987 	3632 	3944 	4854 	5403 	4286 	3946 
A,HIRE,EU27_2007,GT18,THS_T,PT	251 	282 	1261 	1361 	1000 	1073 	1044 	875 	1064 	1110 	1117 	873 	649 	867 	971 
A,HIRE,EU27_2007,GT18,THS_T,RO	859 	396 	838 	700 	722 	1111 	1387 	1475 	1508 	2001 	2176 	2354 	1965 	2135 	2576 
A,HIRE,EU27_2007,GT18,THS_T,SE	353 	215 	323 	239 	183 	184 	215 	309 	243 	314 	436 	274 	218 	388 	196 
A,HIRE,EU27_2007,GT18,THS_T,SI	145 	260 	62 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT18,THS_T,SK	955 	719 	805 	1095 	1172 	1088 	1213 	1122 	1174 	1007 	1212 	1272 	1175 	1331 	1529 
A,HIRE,EU27_2007,GT18,THS_T,UK	: 	: 	: 	1268 	1371 	1362 	1327 	911 	1245 	708 	846 	681 	: 	: 	: 
A,HIRE,EU27_2007,GT19,THS_T,AT	451 	292 	324 	306 	220 	213 	212 	223 	197 	191 	210 	196 	321 	: u	23 
A,HIRE,EU27_2007,GT19,THS_T,BE	1046 	713 	854 	850 	828 	844 	960 	513 	212 	635 	544 	278 	209 	309 	790 
A,HIRE,EU27_2007,GT19,THS_T,BG	: 	: u	: u	: u	: 	: 	: 	: 	: 	: u	: 	: 	: u	: u	: u
A,HIRE,EU27_2007,GT19,THS_T,CH	: 	: u	: u	85 	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u
A,HIRE,EU27_2007,GT19,THS_T,CZ	239 	159 	460 	431 	310 	359 	543 	714 	902 	307 	333 	526 	567 	833 	838 
A,HIRE,EU27_2007,GT19,THS_T,DE	4268 	3530 	661 	238 	169 	107 	39 	114 	114 	86 	77 	126 	100 	114 	122 
A,HIRE,EU27_2007,GT19,THS_T,DK	296 	229 	76 	107 	376 	406 	276 	152 	218 	130 	52 	38 	: u	: u	33 
A,HIRE,EU27_2007,GT19,THS_T,EE	391 	146 	43 	: u	: u	18 	: u	: u	34 	: u	: u	: u	: u	: 	: u
A,HIRE,EU27_2007,GT19,THS_T,EL	: u	: u	: u	: u	39 	: u	: u	: u	: u	: u	: u	: u	: 	: u	: 
A,HIRE,EU27_2007,GT19,THS_T,ES	: u	: u	: u	: u	189 	127 	96 	: u	98 	204 	111 	153 	154 	250 	: u
A,HIRE,EU27_2007,GT19,THS_T,FI	6 	: u	: u	: 	: u	: 	: 	: 	: 	: u	: u	: u	: u	: 	: 
A,HIRE,EU27_2007,GT19,THS_T,FR	: 	136 	194 	306 	201 	119 	115 	65 	109 	: u	217 	190 	347 	151 	266 
A,HIRE,EU27_2007,GT19,THS_T,HR	: u	: 	: 	: u	: 	: u	: u	: u	: 	: 	: u	: 	: u	: u	: u
A,HIRE,EU27_2007,GT19,THS_T,HU	37 	: u	20 	85 	112 	65 	135 	118 	249 	381 	380 	242 	117 	121 	71 
A,HIRE,EU27_2007,GT19,THS_T,IE	: 	: 	: 	: u	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT19,THS_T,IT	578 	224 	: u	: u	: 	: u	223 	: u	121 	: u	: u	: u	102 	138 	215 
A,HIRE,EU27_2007,GT19,THS_T,LI	: 	: 	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT19,THS_T,LU	97 	: u	: 	28 	20 	: u	: 	: 	: 	: 	37 	32 	16 	14 	: u
A,HIRE,EU27_2007,GT19,THS_T,LV	: u	: 	25 	: u	: u	: 	: u	: u	: u	: u	: 	: 	: 	: u	: 
A,HIRE,EU27_2007,GT19,THS_T,NL	26 	58 	596 	1087 	767 	1754 	1053 	1278 	983 	872 	695 	561 	596 	465 	362 
A,HIRE,EU27_2007,GT19,THS_T,NO	149 	83 	138 	122 	66 	300 	201 	147 	: u	: 	: u	: u	: u	: 	: u
A,HIRE,EU27_2007,GT19,THS_T,PL	: u	398 	: u	: u	: u	359 	578 	516 	140 	273 	: u	522 	242 	884 	1066 
A,HIRE,EU27_2007,GT19,THS_T,PT	102 	252 	127 	: u	: u	230 	438 	483 	533 	562 	581 	531 	409 	639 	601 
A,HIRE,EU27_2007,GT19,THS_T,RO	: u	42 	: u	: u	55 	105 	105 	57 	47 	: u	: u	: u	: u	: u	: u
A,HIRE,EU27_2007,GT19,THS_T,SE	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u
A,HIRE,EU27_2007,GT19,THS_T,SI	276 	62 	: u	172 	481 	415 	325 	365 	420 	487 	598 	573 	555 	919 	852 
A,HIRE,EU27_2007,GT19,THS_T,SK	: u	: u	: 	: 	: u	95 	: u	: u	: 	: u	: u	: u	: u	: u	: 
A,HIRE,EU27_2007,GT19,THS_T,UK	1599 	1193 	1586 	357 	: u	114 	84 	118 	110 	113 	69 	79 	: 	: 	: 
A,HIRE,EU27_2007,GT20,THS_T,BE	341 	282 	301 	281 	410 	159 	106 	159 	144 	: 	: u	: u	: u	395 	509 
A,HIRE,EU27_2007,GT20,THS_T,BG	119 	: u	: u	: u	: u	: u	: u	: u	: u	118 	: u	: u	: u	: u	44 
A,HIRE,EU27_2007,GT20,THS_T,CH	: 	: u	130 	: u	: 	: u	: u	: 	: u	: 	: u	: u	: u	: u	: 
A,HIRE,EU27_2007,GT20,THS_T,CY	0 	: u	: u	: 	: u	: u	: u	: 	: u	: 	: u	: u	: u	: u	: u
A,HIRE,EU27_2007,GT20,THS_T,CZ	247 	92 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT20,THS_T,EE	82 	37 	: u	: u	: u	: u	: u	: u	: u	: u	: u	35 	44 	65 	: u
A,HIRE,EU27_2007,GT20,THS_T,EL	151 	30 	250 	48 	72 	48 	104 	56 	: u	: u	257 	199 	: u	114 	: u
A,HIRE,EU27_2007,GT20,THS_T,FI	40 	12 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT20,THS_T,FR	: 	: u	: u	: u	: u	: u	: u	24 	: 	: u	: u	: u	: u	: 	: u
A,HIRE,EU27_2007,GT20,THS_T,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,HIRE,EU27_2007,GT20,THS_T,HU	209 	206 	117 	58 	43 	77 	119 	37 	2826 	4580 	5180 	5654 	5187 	6798 	7588 
A,HIRE,EU27_2007,GT20,THS_T,IE	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT20,THS_T,IT	1659 	1448 	1619 	759 	526 	999 	906 	790 	570 	535 	642 	355 	303 	357 	275 
A,HIRE,EU27_2007,GT20,THS_T,LI	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT20,THS_T,LU	322 	177 	284 	221 	162 	214 	152 	163 	199 	78 	243 	350 	370 	300 	246 
A,HIRE,EU27_2007,GT20,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,EU27_2007,GT20,THS_T,NL	730 	588 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT20,THS_T,NO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT20,THS_T,PL	1955 	1865 	3879 	3374 	3208 	3165 	3552 	2585 	3381 	3325 	4036 	4045 	3309 	3005 	4229 
A,HIRE,EU27_2007,GT20,THS_T,PT	: 	132 	: u	: 	: u	192 	367 	538 	501 	398 	404 	456 	459 	286 	595 
A,HIRE,EU27_2007,GT20,THS_T,RO	: u	: u	: u	111 	144 	162 	119 	134 	172 	191 	231 	194 	133 	225 	222 
A,HIRE,EU27_2007,GT20,THS_T,SE	39 	22 	13 	5 	: 	: u	: u	: 	: u	: 	: u	: u	: u	: 	: 
A,HIRE,EU27_2007,GT20,THS_T,SI	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,GT20,THS_T,SK	: u	: 	: 	: 	55 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,EU27_2007,GT20,THS_T,UK	: 	: 	: 	: 	: 	: 	28 	: u	: u	: u	: u	: u	: 	: 	: 
A,HIRE,EU27_2007,TOTAL,THS_T,AT	11992 	10169 	9572 	9773 	8456 	7387 	7442 	7240 	7752 	7538 	7761 	7029 	6828 	7578 	7351 
A,HIRE,EU27_2007,TOTAL,THS_T,BE	20732 	18678 	18104 	16429 	16239 	15777 	15558 	17639 	14585 	16991 	15770 	14884 	15755 	16899 	15366 
A,HIRE,EU27_2007,TOTAL,THS_T,BG	1547 	1718 	1729 	2790 	2552 	3346 	2887 	3706 	4428 	3646 	2840 	2667 	3807 	4650 	4640 
A,HIRE,EU27_2007,TOTAL,THS_T,CH	5740 	4788 	4367 	6055 	4513 	4341 	3657 	4153 	3523 	3562 	3491 	4548 	3898 	3578 	5860 
A,HIRE,EU27_2007,TOTAL,THS_T,CY	13 	20 	20 	23 	16 	15 	11 	12 	14 	17 	18 	17 	11 	17 	27 
A,HIRE,EU27_2007,TOTAL,THS_T,CZ	16602 	14005 	17514 	18730 	17186 	18821 	18870 	20690 	16306 	13834 	11696 	9400 	14154 	15921 	16785 
A,HIRE,EU27_2007,TOTAL,THS_T,DE	52831 	43839 	44827 	43516 	40134 	39512 	38619 	37316 	38756 	37328 	36363 	33205 	31085 	32243 	31080 
A,HIRE,EU27_2007,TOTAL,THS_T,DK	5412 	3867 	2402 	2300 	2253 	1858 	1697 	1374 	1453 	1269 	1153 	833 	1008 	932 	971 
A,HIRE,EU27_2007,TOTAL,THS_T,EE	1317 	936 	905 	1078 	922 	1063 	1016 	913 	1226 	918 	889 	946 	795 	864 	847 
A,HIRE,EU27_2007,TOTAL,THS_T,EL	1552 	1409 	1561 	1227 	1355 	1220 	1196 	1437 	1223 	3907 	4464 	3582 	3356 	1335 	1542 
A,HIRE,EU27_2007,TOTAL,THS_T,ES	27337 	23931 	26126 	24823 	24308 	23664 	25408 	26311 	27823 	28830 	31050 	31854 	30032 	33235 	35829 
A,HIRE,EU27_2007,TOTAL,THS_T,FI	1617 	1388 	2127 	1377 	1295 	975 	1022 	998 	912 	760 	813 	760 	809 	763 	589 
A,HIRE,EU27_2007,TOTAL,THS_T,FR	25696 	20778 	21679 	21810 	20484 	19659 	17327 	15806 	14344 	13304 	16665 	16262 	15031 	16352 	17921 
A,HIRE,EU27_2007,TOTAL,THS_T,HR	3265 	2632 	2694 	2905 	2581 	2784 	3380 	3826 	4138 	4038 	4439 	4309 	4278 	4803 	4466 
A,HIRE,EU27_2007,TOTAL,THS_T,HU	7419 	7307 	7783 	9687 	9566 	9232 	10087 	11301 	12454 	14083 	14759 	14769 	12824 	15559 	15626 
A,HIRE,EU27_2007,TOTAL,THS_T,IE	3074 	2433 	2116 	2278 	2078 	1766 	1679 	2019 	2131 	1977 	1915 	1786 	1509 	1754 	1501 
A,HIRE,EU27_2007,TOTAL,THS_T,IT	13560 	11516 	14420 	8768 	7596 	8272 	7933 	7888 	6641 	6849 	7577 	8469 	8130 	8817 	9633 
A,HIRE,EU27_2007,TOTAL,THS_T,LI	86 	60 	71 	71 	59 	58 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EU27_2007,TOTAL,THS_T,LT	2716 	2138 	2527 	2902 	3080 	3521 	3683 	3499 	3862 	4733 	4201 	4271 	4161 	3785 	3774 
A,HIRE,EU27_2007,TOTAL,THS_T,LU	4650 	4287 	5690 	5653 	5385 	5163 	4499 	3079 	3041 	2651 	2912 	3331 	2088 	2963 	3194 
A,HIRE,EU27_2007,TOTAL,THS_T,LV	1970 	1167 	1158 	1345 	1722 	2012 	2264 	2118 	2080 	2242 	2564 	2499 	2297 	2748 	2912 
A,HIRE,EU27_2007,TOTAL,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	9 	: u	: u	: u	: u	: u	: 
A,HIRE,EU27_2007,TOTAL,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46 	48 	: 
A,HIRE,EU27_2007,TOTAL,THS_T,NL	44455 	38484 	46130 	47597 	45002 	41970 	43850 	41564 	41458 	42979 	42845 	40935 	42390 	42457 	38100 
A,HIRE,EU27_2007,TOTAL,THS_T,NO	2694 	2111 	2231 	1970 	1879 	1859 	1665 	1557 	1564 	1675 	1668 	1660 	1230 	1813 	1638 
A,HIRE,EU27_2007,TOTAL,THS_T,PL	31454 	34077 	40619 	41707 	47076 	49461 	50262 	51140 	57702 	66547 	61635 	68353 	67175 	70433 	72646 
A,HIRE,EU27_2007,TOTAL,THS_T,PT	8612 	8297 	7324 	8395 	5793 	7929 	8167 	7808 	8042 	7376 	7834 	6649 	5419 	6662 	7371 
A,HIRE,EU27_2007,TOTAL,THS_T,RO	6038 	2476 	3212 	2952 	3297 	3658 	3762 	4045 	4442 	5194 	5619 	5471 	4682 	5656 	6162 
A,HIRE,EU27_2007,TOTAL,THS_T,SE	1130 	673 	956 	925 	752 	739 	757 	1018 	857 	908 	1054 	682 	663 	849 	495 
A,HIRE,EU27_2007,TOTAL,THS_T,SI	5720 	4938 	5514 	5924 	5579 	5549 	5140 	5492 	5670 	6388 	6529 	6523 	7338 	7674 	7882 
A,HIRE,EU27_2007,TOTAL,THS_T,SK	8282 	7239 	8085 	8828 	8143 	7564 	8755 	9424 	10704 	10486 	11364 	11579 	9389 	10697 	10379 
A,HIRE,EU27_2007,TOTAL,THS_T,UK	7538 	6385 	7404 	7251 	6785 	6601 	6645 	5239 	5257 	4807 	5860 	5698 	: 	: 	: 
A,HIRE,EU27_2020,GT01,THS_T,AT	793 	762 	677 	980 	1025 	812 	1021 	865 	893 	811 	635 	628 	938 	989 	1014 
A,HIRE,EU27_2020,GT01,THS_T,BE	1596 	1934 	1863 	1611 	1923 	1563 	1956 	2414 	1727 	2001 	2149 	1684 	2037 	2149 	2436 
A,HIRE,EU27_2020,GT01,THS_T,BG	: u	179 	195 	225 	317 	374 	339 	319 	549 	221 	286 	236 	400 	172 	283 
