freq,tra_type,c_load,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,AM,GT01,THS_T,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AM,GT15,THS_T,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,AM,TOTAL,THS_T,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,AM,TOTAL,THS_T,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AT,GT01,THS_T,AT	: u	: 	: u	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT01,THS_T,BE	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: u	: u	: 	: u	: u
A,HIRE,AT,GT01,THS_T,BG	: 	: u	: u	: 	: 	: 	: 	: 	: u	: 	: 	: u	: u	: 	: 
A,HIRE,AT,GT01,THS_T,CH	: u	: 	: u	: u	: 	: 	: 	: u	: 	: 	: u	: u	: u	: u	: u
A,HIRE,AT,GT01,THS_T,CY	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT01,THS_T,CZ	85 	166 	208 	74 	233 	: u	323 	: u	109 	491 	191 	: u	128 	119 	103 
A,HIRE,AT,GT01,THS_T,DE	219 	239 	147 	: u	107 	194 	143 	181 	124 	128 	184 	73 	159 	86 	134 
A,HIRE,AT,GT01,THS_T,DK	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT01,THS_T,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AT,GT01,THS_T,EL	: 	: 	: u	: u	: 	: u	: 	: u	: u	: u	: u	: 	: u	: u	: 
A,HIRE,AT,GT01,THS_T,ES	: 	: u	: 	: 	: 	: 	: u	: u	: 	: u	: 	: u	: 	: u	: 
A,HIRE,AT,GT01,THS_T,FR	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: u	: u	: 
A,HIRE,AT,GT01,THS_T,HR	: u	: u	: 	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT01,THS_T,HU	30 	24 	44 	120 	98 	65 	101 	160 	179 	182 	94 	159 	103 	89 	173 
A,HIRE,AT,GT01,THS_T,IT	: u	: u	: u	: u	: u	: u	: u	: u	54 	: u	: u	: u	187 	: u	: u
A,HIRE,AT,GT01,THS_T,LI	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT01,THS_T,LT	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AT,GT01,THS_T,NL	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,HIRE,AT,GT01,THS_T,PL	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u
A,HIRE,AT,GT01,THS_T,PT	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT01,THS_T,RO	: 	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,HIRE,AT,GT01,THS_T,SI	49 	73 	100 	106 	210 	142 	216 	189 	199 	312 	280 	305 	293 	205 	390 
A,HIRE,AT,GT01,THS_T,SK	: u	103 	210 	: u	: u	: u	113 	: u	: u	: u	134 	: u	121 	148 	: u
A,HIRE,AT,GT01,THS_T,UK	: u	: 	: 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT02,THS_T,CZ	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT02,THS_T,DE	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AT,GT02,THS_T,HR	: 	: u	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AT,GT02,THS_T,HU	: u	: 	: u	: 	: 	: 	: u	126 	: 	: 	91 	: u	181 	155 	111 
A,HIRE,AT,GT02,THS_T,IT	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AT,GT02,THS_T,LU	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT02,THS_T,SI	: 	: 	: 	: 	: u	: 	11 	: u	: 	20 	: 	: 	: 	: 	: u
A,HIRE,AT,GT02,THS_T,SK	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
